股票代码,股票简称,公告日期,出质人,质权人,质押数量,占总股本比例,质押解除数量,质押事项,累计质押占总股本比例
002584,西陇科学,2021-09-30,黄少群1,华鑫证券有限责任公司,629.0,1.075,,本公司实际控制人黄少群将持有的本公司6290000股流通A股质押给华鑫证券有限责任公司用于办理质押式回购业务，质押开始日期为2017年10月19日，终止日期为2022年09月28日。,9.87
002584,西陇科学,2021-09-30,黄少群,华鑫证券有限责任公司,736.0,1.258,,本公司实际控制人黄少群将持有的本公司7360000股流通受限股份质押给华鑫证券有限责任公司用于办理质押式回购业务，质押开始日期为2017年06月14日，终止日期为2022年09月28日。,9.87
002584,西陇科学,2021-09-30,黄少群,华鑫证券有限责任公司,820.0,1.401,,本公司实际控制人黄少群将持有的本公司8200000股流通受限股份质押给华鑫证券有限责任公司用于办理质押式回购业务，质押开始日期为2017年11月08日，终止日期为2022年09月28日。,9.87
002602,世纪华通,2021-09-30,王佶,大连银行股份有限公司上海分行,,0.34,2500.0,本公司大股东王佶将2018年02月12日质押给大连银行股份有限公司上海分行的25000000股解除质押，解除日期为2021年09月27日。,9.69
002602,世纪华通,2021-09-30,王佶,大连银行股份有限公司上海分行,,0.35,2600.0,本公司大股东王佶将2018年02月12日质押给大连银行股份有限公司上海分行的26000000股解除质押，解除日期为2021年09月22日。,9.69
002602,世纪华通,2021-09-30,王佶,泰安复星招银壹号股权投资基金合伙企业(有限合伙),2600.0,0.35,,本公司大股东王佶将持有的本公司26000000股流通A股质押给泰安复星招银壹号股权投资基金合伙企业(有限合伙)，质押开始日期为2021年09月22日。,9.69
002602,世纪华通,2021-09-30,王佶,泰安复星招银壹号股权投资基金合伙企业(有限合伙),500.0,0.07,,本公司大股东王佶将持有的本公司5000000股流通A股质押给泰安复星招银壹号股权投资基金合伙企业(有限合伙)，质押开始日期为2021年09月27日。,9.69
002677,浙江美大,2021-09-30,夏鼎,上海海通证券资产管理有限公司,,0.33,210.0,本公司股东夏鼎将2020年12月28日质押给上海海通证券资产管理有限公司用于办理质押式回购业务的2100000股解除质押，回购日期为2021年09月28日。,7.18
002677,浙江美大,2021-09-30,夏鼎,上海海通证券资产管理有限公司,,0.77,495.0,本公司股东夏鼎将2021年05月18日质押给上海海通证券资产管理有限公司用于办理质押式回购业务的4950000股解除质押，回购日期为2021年09月28日。,7.18
002677,浙江美大,2021-09-30,夏鼎,上海海通证券资产管理有限公司,,1.47,952.0,本公司股东夏鼎将2021年08月25日质押给上海海通证券资产管理有限公司用于办理质押式回购业务的9520000股解除质押，回购日期为2021年09月28日。,7.18
002853,皮阿诺,2021-09-30,马礼斌,中信证券股份有限公司,100.0,0.54,,本公司控股股东、实际控制人马礼斌将持有的本公司1000000股流通A股质押给中信证券股份有限公司，质押开始日期为2021年09月28日，终止日期为2022年06月28日。,8.26
002922,伊戈尔,2021-09-30,佛山市麦格斯投资有限公司,国金证券股份有限公司,500.0,1.69,,本公司控股股东佛山市麦格斯投资有限公司将持有的本公司5000000股流通A股质押给国金证券股份有限公司用于办理质押式回购业务，质押开始日期为2021年09月28日，终止日期为2022年09月28日。,9.66
300015,爱尔眼科,2021-09-30,爱尔医疗投资集团有限公司,云南国际信托有限公司,,0.24,1293.0,本公司控股股东爱尔医疗投资集团有限公司将2020年07月10日质押给云南国际信托有限公司的12930000股解除质押，解除日期为2021年09月28日。,1.44
300015,爱尔眼科,2021-09-30,爱尔医疗投资集团有限公司,平安证券股份有限公司,,0.07,388.9735,本公司控股股东爱尔医疗投资集团有限公司将2020年09月30日质押给平安证券股份有限公司的3889735股解除质押，解除日期为2021年09月29日。,1.44
300044,*ST赛为,2021-09-30,周新宏,广发证券股份有限公司,,0.77,596.0,本公司控股股东、实际控制人周新宏将2021年02月08日质押给广发证券股份有限公司的5960000股解除质押，解除日期为2021年09月29日。,0.0
300044,*ST赛为,2021-09-30,周新宏,广发证券股份有限公司,,0.35,274.0,本公司控股股东、实际控制人周新宏将2021年04月30日质押给广发证券股份有限公司的2740000股解除质押，解除日期为2021年09月29日。,0.0
300071,福石控股,2021-09-30,刘伟,未披露,,0.05,30.9,本公司控股股东刘伟将2017年08月16日质押的309000股解除质押，解除日期为2021年09月29日。,10.4
300133,华策影视,2021-09-30,杭州大策投资有限公司,交通银行股份有限公司杭州城北支行,,1.01,1925.0,本公司控股股东杭州大策投资有限公司将2020年10月12日质押给交通银行股份有限公司杭州城北支行的19250000股流通A股解除质押，解除日期为2021年09月29日。,8.03
300158,振东制药,2021-09-30,山西振东健康产业集团有限公司,中国农业银行股份有限公司长治县支行,,1.77,1815.0,本公司控股股东山西振东健康产业集团有限公司将2020年09月24日质押给中国农业银行股份有限公司长治县支行的18150000股解除质押，解除日期为2021年09月24日。,26.81
300158,振东制药,2021-09-30,山西振东健康产业集团有限公司,中国农业银行股份有限公司长治县支行,,1.43,1470.0,本公司控股股东山西振东健康产业集团有限公司将2020年09月24日质押给中国农业银行股份有限公司长治县支行的14700000股解除质押，解除日期为2021年09月24日。,26.81
300175,ST朗源,2021-09-30,新疆尚龙股权投资管理有限公司,邳州疌盛经开并购产业基金合伙企业(有限合伙),1700.0,3.61,,本公司控股股东新疆尚龙股权投资管理有限公司将持有的本公司17000000股流通A股质押给邳州疌盛经开并购产业基金合伙企业(有限合伙)，质押开始日期为2021年09月28日。,3.61
300265,通光线缆,2021-09-30,张钟,东吴证券股份有限公司,1000.0,2.74,,本公司持股5%以上股东张钟将持有的本公司10000000股流通A股质押给东吴证券股份有限公司，质押开始日期为2021年09月29日。,5.73
300275,梅安森,2021-09-30,马焰,交通银行股份有限公司重庆市分行,200.0,1.06,,本公司控股股东马焰将持有的本公司2000000股流通受限股份质押给交通银行股份有限公司重庆市分行，质押开始日期为2021年09月28日。,13.49
300296,利亚德,2021-09-30,李军,中信建投证券股份有限公司,,0.62,1571.0,本公司控股股东、实际控制人李军将2019年08月20日质押给中信建投证券股份有限公司的15710000股流通受限股份解除质押，解除日期为2021年09月29日。,8.83
300296,利亚德,2021-09-30,李军,中信建投证券股份有限公司,2894.0,1.14,,本公司控股股东、实际控制人李军将持有的本公司28940000股流通受限股份质押给中信建投证券股份有限公司用于办理质押式回购业务，质押开始日期为2021年08月19日，终止日期为2022年08月19日。,8.83
300340,科恒股份,2021-09-30,万国江,广东粤财信托有限公司,,0.86,183.0,本公司控股股东万国江将2019年09月20日质押给广东粤财信托有限公司的1830000股解除质押，解除日期为2021年09月29日。,9.09
300432,富临精工,2021-09-30,四川富临实业集团有限公司,中信证券股份有限公司,850.0,1.14,,本公司控股股东四川富临实业集团有限公司将持有的本公司8500000股流通A股质押给中信证券股份有限公司，质押开始日期为2021年09月28日。,7.33
300456,赛微电子,2021-09-30,杨云春,中泰证券股份有限公司,2050.0,2.81,,本公司控股股东、实际控制人杨云春将持有的本公司20500000股流通A股质押给中泰证券股份有限公司，质押开始日期为2021年09月29日，终止日期为2022年03月28日。,21.44
300456,赛微电子,2021-09-30,杨云春,国泰君安证券股份有限公司,1160.0,1.59,,本公司控股股东、实际控制人杨云春将持有的本公司11600000股流通A股质押给国泰君安证券股份有限公司，质押开始日期为2021年09月28日，终止日期为2022年09月28日。,21.44
