货币对,买报价,卖报价
AUD/USD,0.71327,0.71327
EUR/JPY,186.789,186.79
EUR/USD,1.16952,1.16952
GBP/USD,1.34901,1.34905
USD/CAD,1.3685,1.36851
USD/CHF,0.78646,0.78648
USD/SEK,9.2637,9.264
USD/NOK,9.3466,9.3469
USD/DKK,6.3899,6.3899
USD/HKD,7.83526,7.83529
USD/JPY,159.711,159.711
USD/SGD,1.2778,1.2778
NZD/USD,0.5858,0.5858
EUR/GBP,0.8669,0.86693
USD/MOP,8.0694,8.0708
HKD/MOP,1.0297,1.0309
