时间,发布日期,现值,前值
2008-01-01,2008-02-14,4.3,4.1
2008-02-01,2008-03-16,4.0,4.3
2008-03-01,2008-04-14,4.0,4.0
2008-04-01,2008-05-15,3.9,4.0
2008-05-01,2008-06-14,4.2,3.9
2008-06-01,2008-07-15,5.0,4.2
2008-07-01,2008-08-14,5.6,5.0
2008-08-01,2008-09-14,5.4,5.6
2008-09-01,2008-10-15,4.9,5.4
2008-10-01,2008-11-14,3.7,4.9
2008-11-01,2008-12-15,1.1,3.7
2008-12-01,2009-01-14,0.1,1.1
2009-01-01,2025-05-27,0.0,0.1
2009-02-01,2009-03-17,0.2,0.0
2009-03-01,2009-04-14,-0.4,0.2
2009-04-01,2009-05-15,-0.7,-0.4
2009-05-01,2009-06-14,-1.3,-0.7
2009-06-01,2009-07-15,-1.4,-1.3
2009-07-01,2009-08-14,-2.1,-1.4
2009-08-01,2009-09-14,-1.5,-2.1
2009-09-01,2009-10-15,-1.3,-1.5
2009-10-01,2009-11-14,-0.2,-1.3
2009-11-01,2009-12-15,1.8,-0.2
2009-12-01,2010-01-14,2.7,1.8
2010-01-01,2010-02-14,2.6,2.7
2010-02-01,2010-03-17,2.1,2.6
2010-03-01,2010-04-14,2.3,2.1
2010-04-01,2010-05-15,2.2,2.3
2010-05-01,2010-06-14,2.0,2.2
2010-06-01,2010-07-15,1.1,2.0
2010-07-01,2010-08-14,1.2,1.1
2010-08-01,2010-09-14,1.1,1.2
2010-09-01,2010-10-15,1.1,1.1
2010-10-01,2010-11-14,1.2,1.1
2010-11-01,2010-12-15,1.1,1.2
2010-12-01,2011-01-14,1.5,1.1
2011-01-01,2011-02-14,1.6,1.5
2011-02-01,2011-03-17,2.1,1.6
2011-03-01,2011-04-14,2.7,2.1
2011-04-01,2011-05-15,3.2,2.7
2011-05-01,2011-06-14,3.6,3.2
2011-06-01,2011-07-15,3.6,3.6
2011-07-01,2011-08-14,3.6,3.6
2011-08-01,2011-09-14,3.8,3.6
2011-09-01,2011-10-15,3.9,3.8
2011-10-01,2011-11-14,3.5,3.9
2011-11-01,2011-12-15,3.4,3.5
2011-12-01,2012-01-14,3.0,3.4
2012-01-01,2012-02-14,2.9,3.0
2012-02-01,2012-03-16,2.9,2.9
2012-03-01,2012-04-14,2.7,2.9
2012-04-01,2012-05-15,2.3,2.7
2012-05-01,2012-06-14,1.7,2.3
2012-06-01,2012-07-15,1.7,1.7
2012-07-01,2012-08-14,1.4,1.7
2012-08-01,2012-09-14,1.7,1.4
2012-09-01,2012-10-15,2.0,1.7
2012-10-01,2012-11-14,2.2,2.0
2012-11-01,2012-12-15,1.8,2.2
2012-12-01,2013-01-14,1.7,1.8
2013-01-01,2013-02-14,1.6,1.7
2013-02-01,2013-03-17,2.0,1.6
2013-03-01,2013-04-14,1.5,2.0
2013-04-01,2013-05-15,1.1,1.5
2013-05-01,2013-06-14,1.4,1.1
2013-06-01,2013-07-15,1.8,1.4
2013-07-01,2013-08-14,2.0,1.8
2013-08-01,2013-09-14,1.5,2.0
2013-09-01,2013-10-15,1.2,1.5
2013-10-01,2013-11-14,1.0,1.2
2013-11-01,2013-12-15,1.2,1.0
2013-12-01,2014-01-14,1.5,1.2
2014-01-01,2014-02-14,1.6,1.5
2014-02-01,2014-03-17,1.1,1.6
2014-03-01,2014-04-14,1.5,1.1
2014-04-01,2014-05-15,2.0,1.5
2014-05-01,2014-06-14,2.1,2.0
2014-06-01,2014-07-15,2.1,2.1
2014-07-01,2014-08-14,2.0,2.1
2014-08-01,2014-09-14,1.7,2.0
2014-09-01,2014-10-15,1.7,1.7
2014-10-01,2014-11-14,1.7,1.7
2014-11-01,2014-12-15,1.3,1.7
2014-12-01,2015-01-14,0.8,1.3
2015-01-01,2015-02-14,-0.1,0.8
2015-02-01,2015-03-17,0.0,-0.1
2015-03-01,2015-04-14,-0.1,0.0
2015-04-01,2015-05-15,-0.2,-0.1
2015-05-01,2015-06-18,0.0,-0.2
2015-06-01,2015-07-17,0.1,0.0
2015-07-01,2015-08-19,0.2,0.1
2015-08-01,2015-09-16,0.2,0.2
2015-09-01,2015-10-15,0.0,0.2
2015-10-01,2015-11-17,0.2,0.0
2015-11-01,2015-12-15,0.5,0.2
2015-12-01,2016-01-20,0.7,0.5
2016-01-01,2016-02-19,1.4,0.7
2016-02-01,2016-03-16,1.0,1.4
2016-03-01,2016-04-14,0.9,1.0
2016-04-01,2016-05-17,1.1,0.9
