序号,基金代码,基金简称,单位净值,总募集规模,最近总份额,成立日期,基金经理,更新日期
1,001369,兴业稳固收益两年理财债券,1.0257,779912.0,7799120000.0,2015-06-10,唐丁祥、宁瑶,2026-04-23
2,017793,国联安聚利39个月封闭式债券,1.0117,637207.0,6372070000.0,2023-03-01,陈建华,2026-04-16
3,161115,易方达岁丰添利债券(LOF)A,1.7419,558804.0,5588040000.0,2010-11-09,胡剑、张凯頔,2026-04-23
4,161015,富国天盈债券(LOF)C,1.3059,524241.0,5242410000.0,2014-05-23,俞晓斌,2026-04-23
5,007420,华安鼎信3个月定开债,,432913.0,4329130000.0,2019-05-15,鲍越愚,
6,163418,兴全合兴混合A,0.886,365745.0,3657450000.0,2021-01-12,陈宇、隋毅,2026-04-23
7,006393,招商添德3个月定开债发起式A,1.1236,268410.0,2684100000.0,2018-09-12,黄晓婷,2026-04-23
8,007145,泰康安和纯债6个月定开债券,,263653.0,2636530000.0,2019-05-15,经惠云,
9,160622,鹏华丰利债券(LOF)A,1.1553,259130.0,2591300000.0,2013-04-23,王石千,2026-04-23
10,005862,华夏鼎禄三个月定开债券A,1.0452,245425.0,2454250000.0,2018-10-11,孙蕾,2026-04-23
11,164808,工银四季收益债券A,1.1058,245371.0,2453710000.0,2011-02-10,何秀红、黄杨荔,2026-04-23
12,006174,长信稳裕三个月定开债券发起式,,219152.0,2191520000.0,2018-08-31,冯彬,
13,508056,中金普洛斯REIT,,193827.0,1938270000.0,2021-06-07,刘立宇、郭瑜、陈茸茸,
14,006224,中银中债3-5年期农发行债券指数A,1.1286,189706.0,1897060000.0,2018-09-19,郑涛,2026-04-23
15,017805,惠升和润39个月封闭债券,1.0116,181032.0,1810320000.0,2023-04-26,曾华,2026-04-16
16,161216,国投瑞银双债债券A,1.3927,180432.0,1804320000.0,2011-03-29,李达夫、宋璐,2026-04-23
17,005898,浦银安盛盛泽定开债券,1.0332,176285.0,1762850000.0,2018-09-26,陶祺,2026-04-23
18,160618,鹏华丰泽债券(LOF)C,1.6288,158441.0,1584410000.0,2011-12-08,祝松、张静娴(休产假),2026-04-23
19,180101,博时招商蛇口产业园REIT,,142113.0,1421130000.0,2021-06-07,胡海滨、王翘楚、刘玄、李慧娟,
20,161019,富国新天锋债券(LOF)A,1.2252,132944.0,1329440000.0,2012-05-07,武磊、张文昭,2026-04-23
21,163819,中银信用增利(LOF)A,1.2015,130532.0,1305320000.0,2012-03-12,白洁、武苇杭,2026-04-23
22,006412,平安合锦定开债,1.0536,128055.0,1280550000.0,2018-09-21,曹紫寒,2026-04-23
23,160513,博时稳健回报债券(LOF)A,2.2172,125312.0,1253120000.0,2011-06-10,罗霄、高晖,2026-04-23
24,005786,中邮纯债汇利三个月定期开放债券,1.0174,116052.0,1160520000.0,2018-09-21,张悦,2026-04-23
25,160219,国泰国证医药卫生行业指数A,0.5533,113620.0,1136200000.0,2021-01-01,梁杏、彭悦,2026-04-23
26,163825,中银互利半年定期开放债券,,105723.0,1057230000.0,2013-09-24,王晓彦,
27,508031,国泰海通城投宽庭保租房REIT,,100000.0,1000000000.0,2023-12-27,王欣慰、张鹏坤、刘敏,
28,508036,平安宁波交投REIT,,100000.0,1000000000.0,2024-12-10,李华平、李麒麟、张威,
29,508082,中金唯品会奥莱REIT,,100000.0,1000000000.0,2025-08-27,闫婧茹、马澍玮、秦文博,
30,508039,创金合信首农REIT,,100000.0,1000000000.0,2025-07-14,贾楠、尹丽娃、杨轩,
31,508020,东方红隧道股份高速公路REIT,,100000.0,1000000000.0,2026-04-07,梁奇锋、周少淳、储成亮、魏雷,
32,508086,工银河北高速REIT,,100000.0,1000000000.0,2024-06-18,辜玉璞、曹连鸽、刘明轩,
33,180601,华夏华润商业REIT,,100000.0,1000000000.0,2024-02-07,郑韬、刘京虎、沈倩,
34,180305,南方顺丰物流REIT,,100000.0,1000000000.0,2025-03-27,唐潇、徐文妹、许炜,
35,508002,华安百联消费REIT,,100000.0,1000000000.0,2024-07-11,赵颖、骆桑若、从静,
