日期,劳动力投入指数,变化值
2015-08-01,29.741385,0.0
2015-09-01,28.09128,-1.650105
2015-10-01,42.663765,14.572484999999997
2015-11-01,32.82443,-9.839334999999998
2015-12-01,38.791985,5.967554999999997
2016-01-01,40.218,1.4260150000000067
2016-02-01,37.10388,-3.114120000000007
2016-03-01,39.19477,2.0908900000000017
2016-04-01,39.044105,-0.1506649999999965
2016-05-01,32.82407,-6.220035000000003
2016-06-01,38.23662,5.412550000000003
2016-07-01,32.83745,-5.399170000000005
2016-08-01,32.90337,0.06592000000000553
2016-09-01,33.397085,0.4937149999999946
2016-10-01,32.70039,-0.6966949999999983
2016-11-01,32.778935,0.07854499999999831
2016-12-01,31.590095,-1.1888399999999955
2017-01-01,33.042035,1.451939999999997
2017-02-01,31.550035,-1.4919999999999973
2017-03-01,30.19045,-1.3595850000000027
2017-04-01,30.148505,-0.041944999999998345
2017-05-01,29.897955,-0.2505500000000005
2017-06-01,30.62618,0.7282250000000019
2017-07-01,30.27611,-0.3500700000000023
2017-08-01,30.26046,-0.01565000000000083
2017-09-01,29.815925,-0.44453499999999835
2017-10-01,30.142625,0.3266999999999989
2017-11-01,29.880365,-0.2622599999999977
2017-12-01,29.60949,-0.2708750000000002
2018-01-01,29.199405,-0.41008500000000225
2018-02-01,28.1867,-1.0127050000000004
2018-03-01,28.261185,0.0744850000000028
2018-04-01,27.890105,-0.37108000000000274
2018-05-01,27.87863,-0.011474999999997237
2018-06-01,27.841855,-0.03677500000000222
2018-07-01,27.602665,-0.23919000000000068
2018-08-01,27.266315,-0.3363499999999995
2018-09-01,27.357605,0.09129000000000076
2018-10-01,27.0902,-0.2674050000000001
2018-11-01,27.550015,0.459814999999999
2018-12-01,27.49346,-0.05655499999999947
2019-01-01,27.06349,-0.4299699999999973
2019-02-01,26.740365,-0.323125000000001
2019-03-01,26.984215,0.24384999999999835
2019-04-01,26.826595,-0.15761999999999787
2019-05-01,26.765445,-0.06115000000000137
2019-06-01,26.770715,0.005269999999999442
2019-07-01,26.606085,-0.16462999999999894
2019-08-01,26.47947,-0.12661500000000103
2019-09-01,26.38474,-0.09472999999999843
2019-10-01,25.821615,-0.5631249999999994
2019-11-01,25.81218,-0.00943499999999986
2019-12-01,25.82269,0.01051000000000002
2020-01-01,25.73364,-0.0890500000000003
2020-02-01,26.10115,0.36750999999999934
2020-03-01,25.526335,-0.574815000000001
2020-04-01,26.10408,0.5777450000000002
2020-05-01,25.86435,-0.239729999999998
2020-06-01,25.610195,-0.2541550000000008
2020-07-01,25.40642,-0.20377500000000026
2020-08-01,25.16888,-0.2375399999999992
2020-09-01,24.39168,-0.7772000000000006
2020-10-01,23.934355,-0.45732500000000087
2020-11-01,24.373235,0.43888000000000105
2020-12-01,24.390535,0.01729999999999876
2021-01-01,24.523035,0.13250000000000028
2021-02-01,24.628768,0.10573300000000074
2021-03-01,24.304725,-0.32404299999999964
2021-04-01,23.78608,-0.5186450000000029
2021-05-01,23.63376,-0.15231999999999957
2021-06-01,23.022935,-0.6108249999999984
2021-07-01,23.76268,0.7397449999999992
2021-08-01,24.18765,0.42497000000000185
2021-09-01,20.802475,-3.3851750000000003
2021-10-01,22.27579,1.4733149999999995
2021-11-01,25.3265,3.0507099999999987
2021-12-01,23.45894,-1.867560000000001
2022-01-01,22.587685,-0.8712549999999979
2022-02-01,26.294065,3.7063799999999993
2022-03-01,23.91798,-2.376085
2022-04-01,22.833455,-1.0845249999999993
2022-05-01,24.039625,1.2061700000000002
2022-06-01,26.763545,2.7239199999999997
2022-07-01,25.27728,-1.4862649999999995
2022-08-01,22.493495,-2.7837850000000017
2022-09-01,25.875865,3.3823700000000017
2022-10-01,23.968685,-1.9071800000000003
2022-11-01,27.096305,3.1276200000000003
2022-12-01,24.163045,-2.9332600000000006
2023-01-01,22.90506,-1.2579850000000015
2023-02-01,22.118835,-0.7862249999999982
2023-03-01,22.623815,0.5049799999999998
2023-04-01,21.802025,-0.82179
2023-05-01,21.15218,-0.6498449999999991
2023-06-01,21.05165,-0.10053000000000267
2023-07-01,23.087245,2.0355950000000007
2023-08-01,22.890335,-0.19690999999999903
2023-09-01,22.895725,0.005389999999998452
2023-10-01,22.57855,-0.3171749999999989
2023-11-01,22.388895,-0.18965499999999835
