代码,简称,基金经理,基金公司,3年期评级-3年评级,3年期评级-较上期,5年期评级-5年评级,5年期评级-较上期,单位净值,日期,日增长率,近1年涨幅,近3年涨幅,近5年涨幅,手续费,类型
000004,中海可转债债券C,梅寓寒,中海基金,1,0.0,1.0,0.0,1.043,2026-04-23,-0.76,26.42,26.89,20.72,0.00%,
000003,中海可转债债券A,梅寓寒,中海基金,1,0.0,1.0,0.0,1.07,2026-04-23,-0.74,26.93,28.45,23.27,0.08%,
000014,华夏聚利债券A,"武文琦,陆晓天",华夏基金,5,0.0,5.0,0.0,2.2373,2026-04-23,-0.52,23.61,24.16,30.99,0.06%,
000015,华夏纯债债券A,柳万军,华夏基金,3,0.0,3.0,0.0,1.1939,2026-04-23,-0.03,2.07,10.12,17.91,0.08%,
000046,工银产业债债券B,"何秀红,谷青春,张玮升",工银瑞信基金,4,0.0,3.0,0.0,1.54,2026-04-23,-0.06,8.22,12.99,14.63,0.00%,
000033,易方达信用债债券C,纪玲云,易方达基金,5,2.0,3.0,0.0,1.1278,2026-04-23,-0.04,1.57,10.65,17.94,0.00%,
000045,工银产业债债券A,"何秀红,谷青春,张玮升",工银瑞信基金,4,-1.0,3.0,-1.0,1.602,2026-04-23,-0.06,8.61,14.27,16.88,0.08%,
000016,华夏纯债债券C,柳万军,华夏基金,2,0.0,3.0,1.0,1.1827,2026-04-23,-0.03,1.66,8.8,15.53,0.00%,
000028,华富安鑫债券,戴弘毅,华富基金,1,0.0,,,1.1073,2026-04-23,-0.47,16.65,21.3,14.92,0.08%,
000048,华夏双债债券C,柳万军,华夏基金,3,-1.0,5.0,0.0,2.091,2026-04-23,-0.68,17.51,32.85,37.75,0.00%,
000025,大摩双利增强债券C,吴慧文,摩根士丹利基金,3,0.0,3.0,0.0,1.2206,2026-04-23,-0.14,4.14,9.27,13.99,0.00%,
000054,鹏华双债增利债券A,杨雅洁,鹏华基金,3,-2.0,4.0,0.0,1.3634,2026-04-23,0.07,3.7,6.23,15.33,0.08%,
000024,大摩双利增强债券A,吴慧文,摩根士丹利基金,4,1.0,4.0,0.0,1.2509,2026-04-23,-0.14,4.56,10.59,16.32,0.08%,
000032,易方达信用债债券A,纪玲云,易方达基金,5,1.0,4.0,0.0,1.1304,2026-04-23,-0.04,1.99,11.99,20.23,0.08%,
000047,华夏双债债券A,柳万军,华夏基金,3,-1.0,5.0,0.0,2.1575,2026-04-23,-0.68,17.86,34.01,39.83,0.08%,
000068,民生加银转债优选C,关键,民生加银基金,2,0.0,1.0,0.0,0.7799,2026-04-23,-0.18,8.32,-0.27,-6.93,0.00%,
000067,民生加银转债优选A,关键,民生加银基金,3,0.0,1.0,0.0,0.8137,2026-04-23,-0.17,8.78,0.96,-5.05,0.08%,
000085,博时安盈债券C,陈黎,博时基金,2,-3.0,3.0,0.0,1.2272,2026-04-23,0.0,1.3,6.15,11.49,0.00%,
000081,天治可转债增强债券C,李申,天治基金,2,0.0,2.0,0.0,1.4754,2026-04-23,-0.47,2.37,3.32,2.6,0.00%,
000109,富国稳健增强债券C,俞晓斌,富国基金,3,-1.0,3.0,-1.0,1.308,2026-04-23,-0.15,5.06,8.12,16.32,0.00%,
000118,广发聚鑫债券A,张芊,广发基金,3,-1.0,5.0,0.0,1.5943,2026-04-23,-0.33,4.83,11.38,16.47,0.08%,
000080,天治可转债增强债券A,李申,天治基金,3,1.0,3.0,1.0,1.5505,2026-04-23,-0.46,2.79,4.55,4.76,0.08%,
000107,富国稳健增强债券A/B,俞晓斌,富国基金,4,0.0,4.0,0.0,1.36,2026-04-23,-0.15,5.43,9.43,18.66,0.08%,
000084,博时安盈债券A,陈黎,博时基金,3,-2.0,4.0,-1.0,1.2585,2026-04-23,0.0,1.6,7.1,13.19,0.03%,
000069,国投瑞银中高等级债券A,宋璐,国投瑞银基金,5,0.0,4.0,0.0,1.1659,2026-04-23,-0.06,5.19,12.36,22.16,0.08%,
000070,国投瑞银中高等级债券C,宋璐,国投瑞银基金,5,0.0,4.0,0.0,1.1622,2026-04-23,-0.06,4.87,11.28,20.36,0.00%,
000122,汇添富实业债债券A,"徐一恒,吴江宏,胡奕",汇添富基金,3,0.0,3.0,1.0,1.6076,2026-04-23,0.01,9.94,23.85,29.54,0.10%,
000119,广发聚鑫债券C,张芊,广发基金,3,-1.0,5.0,0.0,1.5854,2026-04-23,-0.32,4.42,10.1,14.2,0.00%,
000123,汇添富实业债债券C,"徐一恒,吴江宏,胡奕",汇添富基金,2,0.0,2.0,0.0,1.5184,2026-04-23,0.01,9.51,22.45,27.06,0.00%,
000104,华宸未来稳健添利债券A,吕春杰,富国基金,4,1.0,,,1.2135,2026-04-23,-0.31,-5.12,2.95,11.75,0.03%,
000128,大成景安短融债券A,"曾婷婷,万晓慧",大成基金,2,-3.0,1.0,0.0,1.33,2026-04-23,-0.02,1.65,7.27,11.66,0.00%,
000130,大成景兴信用债债券A,孙丹,大成基金,5,0.0,4.0,-1.0,1.6839,2026-04-23,-0.01,3.28,13.0,26.0,0.08%,
000129,大成景安短融债券B,"曾婷婷,万晓慧",大成基金,3,-2.0,3.0,0.0,1.3798,2026-04-23,-0.01,1.95,8.2,13.29,0.00%,
000142,融通增强收益债券A,"王超,刘安坤",融通基金,3,,,,1.2226,2026-04-23,-0.02,6.9,14.62,21.12,0.08%,
000143,鹏华双债加利债券A,王石千,鹏华基金,4,-1.0,4.0,0.0,2.1831,2026-04-23,-0.27,21.11,34.44,35.31,0.08%,
000141,富国国有企业债债券C,张波,富国基金,5,1.0,2.0,1.0,1.0051,2026-04-23,0.0,1.88,7.46,13.79,0.00%,
000148,易方达高等级信用债债券C,"胡剑,王丹",易方达基金,1,0.0,3.0,0.0,1.2156,2026-04-23,-0.07,1.77,11.27,10.4,0.00%,
000152,大成景旭纯债债券A,"方锐,范昕",大成基金,3,0.0,4.0,1.0,1.1121,2026-04-23,-0.04,1.41,10.0,16.98,0.08%,
000139,富国国有企业债债券A/B,张波,富国基金,5,1.0,2.0,0.0,1.0051,2026-04-23,0.0,1.94,7.65,14.21,0.08%,
000174,汇添富高息债债券A,李安,汇添富基金,1,0.0,2.0,0.0,1.8243,2026-04-23,-0.14,5.49,12.54,17.17,0.10%,
000175,汇添富高息债债券C,李安,汇添富基金,1,0.0,2.0,1.0,1.6807,2026-04-23,-0.14,5.06,11.01,14.72,0.00%,
000181,景顺长城四季金利债券A,彭成军,景顺长城基金,3,0.0,3.0,0.0,1.294,2026-04-23,-0.08,5.11,15.74,26.35,0.08%,
000131,大成景兴信用债债券C,孙丹,大成基金,5,0.0,3.0,-1.0,1.5997,2026-04-23,-0.01,2.87,11.72,23.59,0.00%,
000153,大成景旭纯债债券C,"方锐,范昕",大成基金,2,0.0,3.0,1.0,1.1021,2026-04-23,-0.04,1.01,8.64,14.63,0.00%,
000182,景顺长城四季金利债券C,彭成军,景顺长城基金,3,0.0,1.0,0.0,1.267,2026-04-23,0.0,4.62,14.3,23.8,0.00%,
000147,易方达高等级信用债债券A,"胡剑,王丹",易方达基金,1,0.0,3.0,0.0,1.2409,2026-04-23,-0.07,2.17,12.61,12.69,0.08%,
000171,易方达裕丰回报债券A,张清华,易方达基金,4,-1.0,4.0,0.0,2.016,2026-04-23,-0.1,10.65,20.0,22.31,0.10%,
000185,工银添福债券B,郭雪松,工银瑞信基金,4,1.0,2.0,0.0,2.066,2026-04-23,0.0,10.42,19.63,28.72,0.00%,
000184,工银添福债券A,郭雪松,工银瑞信基金,4,0.0,2.0,0.0,2.122,2026-04-23,0.0,10.75,20.64,30.83,0.08%,
000189,易方达丰华债券A,"王成,李中阳",易方达基金,3,-1.0,,,1.4602,2026-04-23,0.09,11.29,17.96,20.3,0.08%,
000187,华泰柏瑞丰盛纯债债券A,何子建,华泰柏瑞基金,4,0.0,5.0,0.0,1.1767,2026-04-23,-0.07,1.68,9.21,20.66,0.08%,
000191,富国信用债债券A/B,"黄纪亮,李金柳",富国基金,5,1.0,5.0,1.0,1.3495,2026-04-23,-0.02,2.41,10.22,18.65,0.08%,
000194,银华信用四季红债券A,"李丹,李翔宇,赵慧",银华基金,3,0.0,3.0,0.0,1.089,2026-04-23,-0.01,2.51,9.6,16.93,0.08%,
000192,富国信用债债券C,"黄纪亮,李金柳",富国基金,5,1.0,4.0,0.0,1.3111,2026-04-23,-0.02,2.01,8.91,16.31,0.00%,
000186,华泰柏瑞季季红债券A,罗远航,华泰柏瑞基金,5,1.0,4.0,0.0,1.0724,2026-04-23,-0.02,1.7,9.71,19.49,0.08%,
000188,华泰柏瑞丰盛纯债债券C,何子建,华泰柏瑞基金,4,1.0,4.0,-1.0,1.1601,2026-04-23,-0.07,1.27,7.9,18.27,0.00%,
000205,易方达投资级信用债债券A,王晓晨,易方达基金,5,1.0,3.0,0.0,1.1582,2026-04-23,-0.03,2.37,10.23,18.84,0.08%,
000206,易方达投资级信用债债券C,王晓晨,易方达基金,5,1.0,3.0,0.0,1.1577,2026-04-23,-0.03,2.07,9.25,17.08,0.00%,
000207,建信双债增强债券A,"彭紫云,薛玲,张溢麟",建信基金,3,0.0,3.0,1.0,1.279,2026-04-23,-0.08,6.85,11.61,24.22,0.08%,
000297,鹏华可转债债券A,王石千,鹏华基金,3,-1.0,5.0,0.0,1.9562,2026-04-23,-0.88,38.48,35.75,40.23,0.08%,
000305,中银中高等级债券A,王悦宁,中银基金,3,0.0,3.0,-1.0,1.1364,2026-04-23,-0.04,1.82,12.54,19.5,0.08%,
000236,工银月月薪定期支付债券A,张洋,工银瑞信基金,2,0.0,2.0,0.0,1.846,2026-04-23,-0.16,5.85,7.7,4.95,0.08%,
000252,景顺长城景兴信用纯债债券A,何江波,景顺长城基金,1,0.0,1.0,0.0,1.2152,2026-04-23,-0.03,2.11,10.51,16.39,0.08%,
000320,宏利淘利债券C,"李宇璐,蔡熠阳",宏利基金,4,0.0,3.0,-1.0,1.0708,2026-04-23,-0.06,1.66,6.61,13.29,0.00%,
000298,中海纯债债券A,"王影峰,殷婧",中海基金,1,0.0,1.0,0.0,1.189,2026-04-23,0.0,2.77,9.16,12.2,0.08%,
000208,建信双债增强债券C,"彭紫云,薛玲,张溢麟",建信基金,3,0.0,2.0,0.0,1.267,2026-04-23,-0.08,6.47,10.56,22.11,0.00%,
000253,景顺长城景兴信用纯债债券C,何江波,景顺长城基金,1,0.0,1.0,0.0,1.2004,2026-04-23,-0.03,1.72,9.45,14.34,0.00%,
000299,中海纯债债券C,"王影峰,殷婧",中海基金,1,0.0,2.0,0.0,1.163,2026-04-23,-0.09,2.29,6.04,11.8,0.00%,
000306,天弘弘利债券A,"尹粒宇,刘嗣兴",天弘基金,5,1.0,2.0,0.0,1.1449,2026-04-23,-0.04,1.82,13.45,20.52,0.03%,
000286,银华信用季季红债券A,"李丹,赵慧",银华基金,4,1.0,3.0,0.0,1.0621,2026-04-23,-0.04,2.65,9.08,16.34,0.07%,
000319,宏利淘利债券A,"李宇璐,蔡熠阳",宏利基金,4,0.0,4.0,0.0,1.0244,2026-04-23,-0.06,1.92,7.3,14.6,0.08%,
000333,长城稳固收益债券A,张棪,长城基金,1,0.0,1.0,-1.0,1.4169,2026-04-23,-0.05,4.12,11.88,6.41,0.08%,
000356,南方丰元信用增强债券C,李璇,南方基金,3,1.0,3.0,0.0,1.3792,2026-04-23,0.01,1.14,7.89,11.75,0.00%,
000377,摩根双债增利债券A,"周梦婕,任翔",摩根基金(中国),1,0.0,1.0,0.0,1.2262,2026-04-23,-0.11,10.97,15.72,17.88,0.08%,
000385,景顺长城景颐双利债券A,"董晗,李怡文",景顺长城基金,5,0.0,3.0,0.0,1.896,2026-04-23,-0.05,10.43,19.62,28.49,0.08%,
000338,鹏华双债保利债券B,"祝松,吴国杰",鹏华基金,3,0.0,3.0,0.0,1.347,2026-04-23,-0.18,8.93,13.6,12.99,0.08%,
000378,摩根双债增利债券C,"周梦婕,任翔",摩根基金(中国),1,0.0,1.0,0.0,1.2162,2026-04-23,-0.12,10.53,14.33,15.5,0.00%,
000355,南方丰元信用增强债券A,李璇,南方基金,4,1.0,5.0,0.0,1.4363,2026-04-23,0.01,1.55,9.2,14.02,0.08%,
000386,景顺长城景颐双利债券C,"董晗,李怡文",景顺长城基金,5,0.0,3.0,0.0,1.805,2026-04-23,-0.06,9.99,18.21,25.95,0.00%,
000334,长城稳固收益债券C,张棪,长城基金,1,0.0,1.0,0.0,1.3565,2026-04-23,-0.05,3.71,10.56,4.32,0.00%,
000394,融通通源短融债券A,"雷冠中,杨龙龙",融通基金,2,-3.0,2.0,0.0,1.1968,2026-04-23,0.0,1.65,5.87,11.15,0.00%,
000489,光大岁末红利纯债A,李怀定,光大保德信基金,1,0.0,1.0,0.0,,,,1.23,4.42,11.53,0.08%,
000396,汇添富安心中国债券C,"茹奕菡,刘通",汇添富基金,1,0.0,1.0,0.0,1.1142,2026-04-23,-0.03,1.04,7.24,11.93,0.00%,
000419,大摩优质信价纯债A,施同亮,摩根士丹利基金,1,0.0,1.0,0.0,1.1393,2026-04-23,-0.06,2.55,12.15,14.09,0.08%,
000490,光大岁末红利纯债C,李怀定,光大保德信基金,1,0.0,1.0,0.0,,,,0.85,3.3,9.68,0.00%,
000402,工银纯债债券A,"谷衡,尹珂嘉",工银瑞信基金,5,0.0,5.0,0.0,1.192,2026-04-23,-0.02,2.35,10.18,20.34,0.08%,
000403,工银纯债债券B,"谷衡,尹珂嘉",工银瑞信基金,5,1.0,4.0,0.0,1.1821,2026-04-23,-0.02,1.94,8.85,17.95,0.00%,
000503,中信建投景和中短债A,潘泓宇,中信建投基金,3,-1.0,,,1.1149,2026-04-23,0.01,1.58,8.44,15.34,0.03%,
000407,汇添富双利增强债券C,"邵佳民,丁云波",汇添富基金,2,0.0,1.0,-1.0,1.245,2026-04-23,-0.12,19.13,20.41,13.8,0.00%,
000395,汇添富安心中国债券A,"茹奕菡,刘通",汇添富基金,2,1.0,1.0,0.0,1.1354,2026-04-23,-0.03,1.45,8.6,14.21,0.08%,
000406,汇添富双利增强债券A,"邵佳民,丁云波",汇添富基金,2,0.0,2.0,0.0,1.2784,2026-04-23,-0.12,19.61,21.87,16.04,0.10%,
000420,大摩优质信价纯债C,施同亮,摩根士丹利基金,1,0.0,1.0,0.0,1.1179,2026-04-23,-0.07,2.14,10.78,11.76,0.00%,
000497,财通纯债债券A,吴伟,财通基金,1,0.0,1.0,0.0,1.0309,2026-04-23,0.01,1.94,11.47,16.32,0.08%,
000504,中信建投景和中短债C,潘泓宇,中信建投基金,2,-1.0,,,1.107,2026-04-23,0.01,1.17,7.12,12.97,0.00%,
000536,前海开源可转债债券,章俊,前海开源基金,5,0.0,4.0,0.0,1.4489,2026-04-23,-0.23,21.66,5.68,39.32,0.08%,
