基金代码,基金简称,2026-04-24-万份收益,2026-04-24-7日年化%,2026-04-24-单位净值,2026-04-23-万份收益,2026-04-23-7日年化%,2026-04-23-单位净值,日涨幅,成立日期,基金经理,手续费,可购全部
003423,国寿安保添利货币B,---,---,---,0.3337,1.2290%,---,---,2016-12-27,张英 等,0费率,购买
003422,国寿安保添利货币A,---,---,---,0.2676,0.9860%,---,---,2016-12-27,张英 等,0费率,购买
004072,元顺安金通宝货币A,---,---,---,0.5956,1.3470%,---,---,2017-01-20,章文凝,0费率,购买
000505,国寿安保货币A,---,---,---,0.2639,1.0030%,---,---,2014-01-20,桑迎,0费率,购买
000506,国寿安保货币B,---,---,---,0.3297,1.2460%,---,---,2014-01-20,桑迎,0费率,购买
000581,嘉实活钱包货币A,---,---,---,0.2957,1.0340%,---,---,2014-03-17,李��,0费率,购买
012105,永赢天天利货币E,---,---,---,0.3092,1.0870%,---,---,2021-04-28,卢绮婷 等,0费率,购买
002937,华夏沃利货币B,---,---,---,0.3686,1.5580%,---,---,2017-01-13,邓子威,0费率,购买
004369,前海开源聚财宝B,---,---,---,0.3800,1.3930%,---,---,2017-02-17,张艳琳 等,0费率,购买
004368,前海开源聚财宝A,---,---,---,0.3345,1.2250%,---,---,2017-02-17,张艳琳 等,0费率,购买
004684,鹏华盈余宝货币A,---,---,---,0.2637,1.0620%,---,---,2017-06-08,夏寅 等,0费率,购买
004701,鹏华盈余宝货币B,---,---,---,0.3296,1.3060%,---,---,2017-06-08,夏寅 等,0费率,购买
003246,华泰柏瑞天添宝货币A,---,---,---,0.3152,1.0820%,---,---,2016-09-22,郑青 等,0费率,购买
003391,建信天添益货币A,---,---,---,0.3613,1.3470%,---,---,2016-10-18,陈建良 等,0费率,购买
003480,财通资管鑫管家货币B,---,---,---,0.3606,1.2750%,---,---,2016-10-25,王珊 等,0费率,购买
003363,长江乐享货币A,---,---,---,0.2339,0.9240%,---,---,2016-10-26,陆威 等,0费率,购买
750007,安信现金管理货币B,---,---,---,0.2411,0.8640%,---,---,2013-02-05,祝璐琛 等,0费率,购买
002078,浙商日添利B,---,---,---,0.2934,1.0330%,---,---,2015-12-08,赵柳燕,0费率,购买
000210,光大现金宝货币A,---,---,---,0.1875,0.7740%,---,---,2013-09-05,沈荣,0费率,购买
000533,永赢货币A,---,---,---,0.3377,1.2520%,---,---,2014-02-27,胡雪骥 等,0费率,购买
004849,中信保诚货币E,---,---,---,0.3562,1.3770%,---,---,2017-08-01,席行懿 等,0费率,购买
163802,中银货币A,---,---,---,0.2976,1.1320%,---,---,2005-06-07,蔡静 等,0费率,购买
162206,宏利货币A,---,---,---,0.3041,1.3130%,---,---,2005-11-10,周丹娜 等,0费率,购买
161608,融通易支付货币A,---,---,---,0.2883,1.0040%,---,---,2006-01-19,黄浩荣 等,0费率,购买
260202,景顺货币B,---,---,---,0.3213,1.3760%,---,---,2010-04-30,陈威霖 等,0费率,购买
002318,鹏华添利交易型货币A,---,---,---,0.2761,1.0380%,---,---,2016-01-29,叶朝明 等,0费率,购买
002733,上银慧盈利货币B,---,---,---,0.3131,1.2010%,---,---,2016-05-17,楼昕宇 等,0费率,购买
001930,华夏收益宝货币B,---,---,---,0.3482,1.2880%,---,---,2015-10-30,周飞,0费率,购买
001308,博时外服货币B,---,---,---,0.3412,1.2730%,---,---,2015-06-15,李更,0费率,购买
