日期,基石经济指数,变化幅度
2016-12-26,8337.3924,0.0
2016-12-27,8337.7003,0.0036930011834370472
2016-12-28,8298.5135,-0.46999530554008173
2016-12-29,8287.3093,-0.13501454206224175
2016-12-30,8314.6532,0.3299490704419569
2017-01-03,8401.1905,1.0407806305138494
2017-01-04,8463.565,0.742448347052717
2017-01-05,8461.7232,-0.02176151538979317
2017-01-06,8427.479,-0.40469534621507114
2017-01-09,8481.7245,0.6436741046759168
2017-01-10,8458.5521,-0.2732038749902743
2017-01-11,8391.2869,-0.795233028120754
2017-01-12,8341.2723,-0.596030151227443
2017-01-13,8340.0967,-0.014093773200528245
2017-01-16,8320.1816,-0.23878739919166841
2017-01-17,8331.3076,0.13372304277589572
2017-01-18,8361.2603,0.3595197949479122
2017-01-19,8332.9239,-0.33890106255871666
2017-01-20,8399.8805,0.8035186784797054
2017-01-23,8424.544,0.2936172722933448
2017-01-24,8437.8847,0.15835515845131382
2017-01-25,8461.5425,0.28037595725856557
2017-01-26,8489.1253,0.3259783898739519
2017-02-03,8428.4976,-0.7141807648898656
2017-02-06,8470.6596,0.5002315003328738
2017-02-07,8462.4446,-0.09698182181704179
2017-02-08,8491.9721,0.34892399768265714
2017-02-09,8536.4377,0.5236192426962817
2017-02-10,8586.27,0.5837598978787139
2017-02-13,8637.8101,0.6002618133368758
2017-02-14,8639.2884,0.017114291503107403
2017-02-15,8609.2367,-0.3478492511026717
2017-02-16,8650.0266,0.4737922933400096
2017-02-17,8582.9288,-0.7756947244532122
2017-02-20,8731.218,1.7277225927820943
2017-02-21,8766.2094,0.40076195554845806
2017-02-22,8808.055,0.47735113423141085
2017-02-23,8775.9081,-0.36497160837437703
2017-02-24,8765.7346,-0.11592532515239973
2017-02-27,8684.3877,-0.9280100723104309
2017-02-28,8712.4903,0.3235990949597997
2017-03-01,8718.5141,0.06913981872669456
2017-03-02,8656.6113,-0.7100154830282358
2017-03-03,8648.2811,-0.09622934092004722
2017-03-06,8692.5697,0.5121087009995531
2017-03-07,8708.9683,0.1886507737752214
2017-03-08,8690.6163,-0.21072530485615354
2017-03-09,8625.055,-0.7543918375501102
2017-03-10,8636.4235,0.13180785513832077
2017-03-13,8716.6645,0.9290998756603353
2017-03-14,8708.807,-0.09014342584827112
2017-03-15,8720.5958,0.13536641700750107
2017-03-16,8772.7619,0.5981942197114603
2017-03-17,8687.8195,-0.9682515149533456
2017-03-20,8702.844,0.1729375247724649
2017-03-21,8755.4363,0.6043116480084011
2017-03-22,8719.8941,-0.40594436167618364
2017-03-23,8746.9791,0.3106115703859402
2017-03-24,8812.5861,0.7500532383803222
2017-03-27,8787.5211,-0.28442275304408665
2017-03-28,8755.4509,-0.36495161303225904
2017-03-29,8757.4454,0.022780094626545146
2017-03-30,8679.5955,-0.8889567270382419
2017-03-31,8721.4736,0.4824890745196582
2017-04-05,8856.4458,1.5475848026416106
2017-04-06,8898.1557,0.4709552899877718
2017-04-07,8914.5362,0.18408870952888723
2017-04-10,8907.7538,-0.0760824775157686
2017-04-11,8957.0327,0.5532135385241489
2017-04-12,8915.2224,-0.4667873993582628
2017-04-13,8930.3023,0.16914777134442338
2017-04-14,8830.7036,-1.1152892327060266
2017-04-17,8806.2562,-0.27684543732167527
2017-04-18,8760.4662,-0.5199712449882965
2017-04-19,8702.7437,-0.6588975824140484
2017-04-20,8725.9276,0.26639759596734985
2017-04-21,8735.5154,0.10987714360590538
2017-04-24,8603.6302,-1.5097586571709394
2017-04-25,8617.7625,0.1642597330601346
2017-04-26,8631.4437,0.15875582554055162
2017-04-27,8634.7736,0.038578714242214596
2017-04-28,8631.3118,-0.04009138120310356
2017-05-02,8616.6976,-0.16931609399164543
2017-05-03,8578.171,-0.447115609581091
2017-05-04,8558.1604,-0.23327350317450668
2017-05-05,8497.0018,-0.7146232033697412
2017-05-08,8413.9753,-0.9771270143781768
2017-05-09,8411.6488,-0.027650425833781734
2017-05-10,8355.5674,-0.6667111446688184
2017-05-11,8395.6342,0.4795221925922172
2017-05-12,8467.1035,0.851267436115771
2017-05-15,8490.4584,0.2758310442290008
2017-05-16,8575.5942,1.002723245190154
2017-05-17,8536.8024,-0.4523511618588372
2017-05-18,8504.4693,-0.3787495421002111
2017-05-19,8516.8427,0.14549291159177424
2017-05-22,8499.9239,-0.19865107993598924
2017-05-23,8498.8715,-0.012381287319531049
2017-05-24,8505.0568,0.07277789763030312
2017-05-25,8658.109,1.799543537439986
