日期,基础指数,变化值
2016-01-01,100.0,0.0
2016-02-01,99.15,-0.8499999999999943
2016-03-01,122.47,23.319999999999993
2016-04-01,106.72,-15.75
2016-05-01,117.46,10.739999999999995
2016-06-01,124.02,6.560000000000002
2016-07-01,129.61,5.590000000000018
2016-08-01,123.54,-6.070000000000007
2016-09-01,118.42,-5.1200000000000045
2016-10-01,119.1,0.6799999999999926
2016-11-01,117.97,-1.1299999999999955
2016-12-01,126.07,8.099999999999994
2017-01-01,108.4,-17.669999999999987
2017-02-01,112.2,3.799999999999997
2017-03-01,102.26,-9.939999999999998
2017-04-01,126.72,24.459999999999994
2017-05-01,112.64,-14.079999999999998
2017-06-01,122.02,9.379999999999995
2017-07-01,129.89,7.86999999999999
2017-08-01,137.77,7.880000000000024
2017-09-01,112.87,-24.900000000000006
2017-10-01,113.12,0.25
2017-11-01,113.73,0.6099999999999994
2017-12-01,121.25,7.519999999999996
2018-01-01,111.23,-10.019999999999996
2018-02-01,111.33,0.09999999999999432
2018-03-01,123.61,12.280000000000001
2018-04-01,116.0,-7.609999999999999
2018-05-01,124.63,8.629999999999995
2018-06-01,116.91,-7.719999999999999
2018-07-01,117.47,0.5600000000000023
2018-08-01,119.65,2.180000000000007
2018-09-01,122.37,2.719999999999999
2018-10-01,105.55,-16.820000000000007
2018-11-01,97.18,-8.36999999999999
2018-12-01,120.36,23.179999999999993
2019-01-01,102.55,-17.810000000000002
2019-02-01,108.55,6.0
2019-03-01,133.07,24.519999999999996
2019-04-01,138.61,5.5400000000000205
2019-05-01,134.88,-3.730000000000018
2019-06-01,119.91,-14.969999999999999
2019-07-01,119.99,0.0799999999999983
2019-08-01,120.57,0.5799999999999983
2019-09-01,114.48,-6.089999999999989
2019-10-01,121.6,7.11999999999999
2019-11-01,138.24,16.640000000000015
2019-12-01,146.73,8.48999999999998
2020-01-01,127.09,-19.639999999999986
2020-02-01,101.85,-25.24000000000001
2020-03-01,122.26,20.41000000000001
2020-04-01,108.32,-13.940000000000012
2020-05-01,109.65,1.3300000000000125
2020-06-01,107.07,-2.5800000000000125
2020-07-01,130.61,23.54000000000002
2020-08-01,109.55,-21.060000000000016
2020-09-01,98.31,-11.239999999999995
2020-10-01,89.0,-9.310000000000002
2020-11-01,92.4,3.4000000000000057
2020-12-01,87.41,-4.990000000000009
2021-01-01,83.37,-4.039999999999992
2021-02-01,50.63,-32.74
2021-03-01,84.68,34.050000000000004
2021-04-01,78.77,-5.910000000000011
2021-05-01,72.8,-5.969999999999999
2021-06-01,88.49,15.689999999999998
2021-07-01,88.16,-0.3299999999999983
2021-08-01,82.76,-5.3999999999999915
2021-09-01,77.2,-5.560000000000002
2021-10-01,81.56,4.359999999999999
2021-11-01,83.5,1.9399999999999977
2021-12-01,48.14,-35.36
2022-01-01,52.06,3.9200000000000017
2022-02-01,61.32,9.259999999999998
2022-03-01,69.6,8.279999999999994
2022-04-01,70.36,0.7600000000000051
2022-05-01,71.93,1.5700000000000074
2022-06-01,83.43,11.5
2022-07-01,68.88,-14.550000000000011
2022-08-01,87.37,18.49000000000001
2022-09-01,77.95,-9.420000000000002
2022-10-01,103.96,26.00999999999999
2022-11-01,81.1,-22.86
2022-12-01,109.48,28.38000000000001
2023-01-01,96.99,-12.490000000000009
2023-02-01,102.02,5.030000000000001
2023-03-01,97.85,-4.170000000000002
2023-04-01,123.94,26.090000000000003
2023-05-01,63.15,-60.79
2023-06-01,109.44,46.29
2023-07-01,103.17,-6.269999999999996
2023-08-01,115.16,11.989999999999995
2023-09-01,117.65,2.490000000000009
2023-10-01,116.5,-1.1500000000000057
2023-11-01,111.95,-4.549999999999997
2023-12-01,118.69,6.739999999999995
2024-01-01,108.27,-10.420000000000002
2024-02-01,100.39,-7.8799999999999955
2024-03-01,105.5,5.109999999999999
2024-04-01,111.56,6.060000000000002
