序号,股票代码,股票名称,调入日期,最新评级日期,当前评级名称,成交价格(前复权),最新价格,阶段涨跌幅
1,300842,帝科股份,2026-03-30,2026-03-30,买入,83.66,85.64,2.37
2,603659,璞泰来,2025-11-26,2026-03-25,买入,25.7735323846,34.38,33.41
