序号,交易日期,上证指数,上证指数涨跌幅,大宗交易成交总额,溢价成交总额,溢价成交总额占比,折价成交总额,折价成交总额占比
1,2026-04-24,4079.9004,-0.326139367834,2353878500.0,12478000.0,0.530103826514,924096700.0,39.258470647487
2,2026-04-23,4093.2501,-0.316784763237,1206222300.0,7658000.0,0.634874682718,1099083300.0,91.117806394394
3,2026-04-22,4106.2581,0.518509249006,1024059987.36,0.0,0.0,952779487.36,93.039421432356
4,2026-04-21,4085.0766,0.072253997187,1110000100.0,13721000.0,1.236126014763,710554300.0,64.013895133883
5,2026-04-20,4082.1271,0.757799958503,2386916700.0,11840000.0,0.49603741932,2126571100.0,89.092807469988
6,2026-04-17,4051.4254,-0.10162378104,1555530300.0,2057400.0,0.132263575965,1345337400.0,86.487379898675
7,2026-04-16,4055.5468,0.703646035797,1543801900.0,18558000.0,1.202097237994,1380939200.0,89.450544140411
8,2026-04-15,4027.2095,0.014500975705,2330872200.0,0.0,0.0,1555249200.0,66.723915622658
9,2026-04-14,4026.6256,0.95442011875,1708966200.0,2085100.0,0.12200943471,1610686100.0,94.249148988435
10,2026-04-13,3988.558,0.058534081132,1750927260.0,154104600.0,8.801313653658,1169389760.0,66.786884110765
11,2026-04-10,3986.2247,0.505613575128,1686280400.0,36434900.0,2.160666755066,1575764500.0,93.446173008949
12,2026-04-09,3966.1712,-0.721559900851,1488595500.0,497120300.0,33.395257475923,689413400.0,46.313011157161
13,2026-04-08,3994.9975,2.694821774246,1745895800.0,0.0,0.0,1700620000.0,97.406729542508
14,2026-04-07,3890.1645,0.259472914683,1489061800.0,4000000.0,0.268625519774,1312956000.0,88.173371984964
15,2026-04-03,3880.0967,-0.999888959344,507208600.0,82632900.0,16.291699312669,371356300.0,73.215694686565
16,2026-04-02,3919.2852,-0.741205871388,404335200.0,72500100.0,17.930692158387,231646300.0,57.290658839498
17,2026-04-01,3948.5521,1.456670916134,1166946082.0,0.0,0.0,1092759882.0,93.642705421929
18,2026-03-31,3891.8605,-0.801022224503,1206178100.0,195710800.0,16.225696686086,891250200.0,73.890431272131
19,2026-03-30,3923.2869,0.244347851016,1331522500.0,163090100.0,12.248392347857,1105747500.0,83.043846423925
20,2026-03-27,3913.7238,0.633576008332,1698086960.0,220532600.0,12.987120518257,1209942760.0,71.253286109682
21,2026-03-26,3889.0835,-1.087379628482,761905800.0,16422000.0,2.155384563289,700698800.0,91.966592195518
22,2026-03-25,3931.8375,1.30260645735,1746455100.0,4323000.0,0.247529982305,1517988200.0,86.918249429945
23,2026-03-24,3881.2797,1.783156450312,1180931500.0,77657400.0,6.575944498051,932663700.0,78.976951669085
24,2026-03-23,3813.2829,-3.633254619025,619159290.0,11748690.0,1.897523010597,287538600.0,46.440165663993
25,2026-03-20,3957.0527,-1.235466213682,2109775000.0,70606600.0,3.346641229515,1739275800.0,82.438923581899
