序号,股票代码,股票简称,发行价,最新价,网上-发行中签率,网上-有效申购股数,网上-有效申购户数,网上-超额认购倍数,网下-配售中签率,网下-有效申购股数,网下-有效申购户数,网下-配售认购倍数,总发行数量,开盘溢价,首日涨幅,上市日期
36,688790,昂瑞微-UW,83.06,137.3,0.03449153,1731439.65,5129179.0,2899.26,0.03072791,4534750.0,7403.0,3254.37,2488.2922,188.947748615459,160.1132,2025-12-16
37,688796,百奥赛图,26.68,102.88,0.02801388,4091186.1,6027261.0,3569.66,0.02634367,10304750.0,7850.0,3795.98,4750.0,117.391304347826,146.6267,2025-12-10
38,688795,摩尔线程-U,114.28,638.5,0.03635054,4621664.7,4826579.0,2750.99,0.05567707,7040600.0,7555.0,1796.07,7000.0,468.778438921946,425.4638,2025-12-05
39,001280,中国铀业,17.89,83.08,0.0433935265,28024687.05,14612532.0,2304.49,0.02498115,20863040.0,8659.0,4003.02,24818.1818,246.562325321409,280.0447,2025-12-03
40,001233,海安集团,48.0,67.52,0.0211693437,14153957.95,14786680.0,4723.81,0.011018,7034060.0,7979.0,9076.06,4649.3334,81.375,74.0,2025-11-25
41,688727,恒坤新材,14.99,50.04,0.02873717,5632600.1,6191785.0,3479.81,0.02553114,14821800.0,7323.0,3916.79,6739.794,286.924616410941,310.6071,2025-11-18
42,301638,南网数字,5.69,27.02,0.0362424368,26968799.2,13154839.0,2759.2,0.02469089,61760630.0,8091.0,4050.08,47694.7534,261.511423550088,224.7803,2025-11-18
43,603092,德力佳,46.68,75.1,0.02602442,9002698.95,13469543.0,3842.55,0.01308021,8518710.0,9678.0,7645.14,4000.01,107.669237360754,51.0711,2025-11-07
44,603376,大明电子,12.55,32.66,0.02516657,8900896.45,13272363.0,3973.53,0.00989556,9701620.0,8971.0,10105.54,4000.1,386.852589641434,413.5458,2025-11-06
45,603334,丰倍生物,24.49,50.11,0.02391232,10126577.75,13647883.0,4181.94,0.01014899,7490110.0,9270.0,9853.2,3590.0,169.497754185382,172.6011,2025-11-05
46,688783,西安奕材-U,8.62,22.92,0.0712462,11322708.65,3748000.0,1403.58,0.04372367,43049910.0,5613.0,2287.09,53780.0,361.484918793504,198.7239,2025-10-28
47,688765,禾元生物-U,29.06,59.88,0.05431344,3960253.85,3359036.0,1841.16,0.04380835,11518660.0,5385.0,2282.67,8945.1354,202.821748107364,213.4893,2025-10-28
48,688759,必贝特-U,17.78,35.27,0.04772481,4525948.25,3836080.0,2095.35,0.03206403,15718550.0,6534.0,3118.76,9000.0,175.028121484814,74.4094,2025-10-28
49,603175,超颖电子,17.08,95.0,0.028609,10762348.05,13310647.0,3495.4,0.01104269,13297700.0,9673.0,9055.76,5250.0,310.421545667447,397.5995,2025-10-24
50,001386,马可波罗,13.75,18.85,0.0336849074,22348287.65,14713206.0,2968.69,0.01461139,22080580.0,7620.0,6843.98,11949.2,140.727272727273,128.8,2025-10-22
51,601026,道生天合,5.98,18.85,0.04220717,17089276.9,13135673.0,2369.27,0.01387138,28084230.0,9212.0,7209.09,13188.0,314.214046822742,396.3211,2025-10-17
52,301563,云汉芯城,27.0,163.72,0.0143369671,4948745.4,13503823.0,6974.98,0.01951116,3907900.0,8230.0,5125.27,1627.9025,344.444444444444,332.5926,2025-09-30
53,001285,瑞立科密,42.28,52.1,0.0207085741,15846093.45,15614516.0,4828.92,0.01133458,7659540.0,7907.0,8822.56,4504.4546,88.741721854305,49.929,2025-09-30
54,301668,昊创瑞通,21.0,48.77,0.0161087915,7177447.15,12924016.0,6207.79,0.02009845,6352020.0,8190.0,4975.51,2790.0,176.190476190476,190.7619,2025-09-26
55,301656,联合动力,12.48,21.69,0.0328174062,24721027.5,13329409.0,3047.16,0.02990632,40964920.0,7799.0,3343.77,28857.491,174.038461538462,147.5962,2025-09-25
56,301584,建发致新,7.05,26.65,0.0198472227,10507011.65,13472178.0,5038.49,0.02206138,14895160.0,7549.0,4532.81,6319.3277,410.63829787234,418.5816,2025-09-25
57,603418,友升股份,46.36,50.72,0.02759604,11592606.65,12885319.0,3623.71,0.01233161,7601290.0,8639.0,8109.24,4826.7111,94.176013805004,71.484,2025-09-23
58,301575,艾芬达,27.69,45.92,0.0152129042,5707325.75,12841532.0,6573.37,0.02054795,4246670.0,7274.0,4866.67,2167.0,199.747201155652,170.0253,2025-09-10
59,603370,华新精科,18.6,43.25,0.02555726,10952659.0,13178223.0,3912.78,0.00809335,8646600.0,9088.0,12355.82,4373.75,249.462365591398,272.5806,2025-09-05
