日期,中国新经济指数,变化值
2016-05-01,32.030085,0.0
2016-06-01,34.687431,2.657345999999997
2016-07-01,32.163383,-2.5240479999999934
2016-08-01,31.420723,-0.7426600000000043
2016-09-01,32.140547,0.7198239999999991
2016-10-01,31.989114,-0.15143299999999726
2016-11-01,33.060327,1.0712130000000002
2016-12-01,33.229903,0.16957599999999928
2017-01-01,31.713578,-1.516325000000002
2017-02-01,30.670074,-1.0435039999999987
2017-03-01,33.259035,2.5889609999999976
2017-04-01,31.83576,-1.4232749999999967
2017-05-01,28.1886,-3.6471599999999995
2017-06-01,29.280901,1.092300999999999
2017-07-01,31.460507,2.1796059999999997
2017-08-01,33.268977,1.8084699999999998
2017-09-01,29.614961,-3.6540159999999986
2017-10-01,29.259138,-0.3558230000000009
2017-11-01,30.242649,0.983511
2017-12-01,31.351691,1.1090419999999988
2018-01-01,31.294193,-0.05749799999999894
2018-02-01,29.775978,-1.5182150000000014
2018-03-01,31.269522,1.493544
2018-04-01,29.743211,-1.5263109999999998
2018-05-01,29.575991,-0.16722000000000037
2018-06-01,29.185716,-0.39027499999999904
2018-07-01,30.568937,1.383220999999999
2018-08-01,29.108696,-1.460241
2018-09-01,31.313419,2.2047230000000013
2018-10-01,29.801785,-1.5116340000000008
2018-11-01,31.331715,1.5299300000000002
2018-12-01,29.11424,-2.2174750000000003
2019-01-01,28.829841,-0.2843990000000005
2019-02-01,27.434724,-1.395116999999999
2019-03-01,28.317924,0.8832000000000022
2019-04-01,28.550574,0.23264999999999958
2019-05-01,27.984337,-0.566237000000001
2019-06-01,29.952098,1.9677609999999994
2019-07-01,28.653196,-1.2989019999999982
2019-08-01,29.424288,0.7710919999999994
2019-09-01,28.721087,-0.703201
2019-10-01,29.752915,1.0318280000000009
2019-11-01,29.67791,-0.07500500000000088
2019-12-01,28.98001,-0.6979000000000006
2020-01-01,29.141464,0.1614539999999991
2020-02-01,30.293125,1.1516610000000007
2020-03-01,31.230456,0.9373310000000004
2020-04-01,32.054157,0.8237009999999962
2020-05-01,31.132614,-0.9215429999999962
2020-06-01,32.079264,0.9466500000000018
2020-07-01,31.46702,-0.6122440000000005
2020-08-01,30.438812,-1.028208000000003
2020-09-01,28.853421,-1.5853909999999978
2020-10-01,29.529653,0.6762319999999988
2020-11-01,30.153321,0.6236679999999986
2020-12-01,28.069949,-2.083371999999997
2021-01-01,27.317353,-0.7525960000000005
2021-02-01,28.235579,0.9182260000000007
2021-03-01,29.074264,0.8386849999999981
2021-04-01,26.970071,-2.1041929999999986
2021-05-01,31.042497,4.072426
2021-06-01,28.649108,-2.3933890000000027
2021-07-01,28.788574,0.1394660000000023
2021-08-01,28.536773,-0.2518010000000004
2021-09-01,28.225149,-0.3116240000000019
2021-10-01,28.88537,0.6602210000000035
2021-11-01,29.643365,0.7579949999999975
2021-12-01,28.056617,-1.586748
2022-01-01,29.464567,1.4079499999999996
2022-02-01,31.143544,1.6789769999999997
2022-03-01,30.61844,-0.5251039999999989
2022-04-01,28.78968,-1.828759999999999
2022-05-01,28.489834,-0.2998460000000023
2022-06-01,30.11462,1.6247860000000003
2022-07-01,31.431209,1.3165890000000005
2022-08-01,29.938812,-1.4923970000000004
2022-09-01,30.291298,0.3524860000000025
2022-10-01,28.524477,-1.7668210000000002
2022-11-01,30.004783,1.4803059999999988
2022-12-01,29.65918,-0.34560300000000055
2023-01-01,28.276064,-1.3831159999999976
2023-02-01,29.474455,1.1983909999999973
2023-03-01,28.289128,-1.1853269999999974
2023-04-01,29.217832,0.9287039999999998
2023-05-01,30.123212,0.9053799999999974
2023-06-01,28.241521,-1.881691
2023-07-01,29.458827,1.2173060000000007
2023-08-01,30.419501,0.9606740000000009
2023-09-01,31.931436,1.5119350000000011
2023-10-01,30.958026,-0.9734100000000012
2023-11-01,30.597005,-0.3610210000000009
2023-12-01,29.945583,-0.6514220000000002
2024-01-01,29.404585,-0.5409979999999983
2024-02-01,31.3403,1.9357149999999983
2024-03-01,29.754886,-1.585414
2024-04-01,30.741225,0.986339000000001
2024-05-01,30.719022,-0.022203000000001083
2024-06-01,32.42734,1.708318000000002
2024-07-01,31.049551,-1.377789
2024-08-01,29.807476,-1.2420749999999998
